epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7931,1.63656,4.9384,0.03302,0.50162,0.25625,0.30634,0.14211,1.64734,3.56531,0.05471,0.00052,0.00052,0.00052
2,26.024,1.55255,2.21006,0.03119,0.73378,0.45455,0.56751,0.24775,1.85717,2.43192,0.06224,0.00105974,0.00105974,0.00105974
3,35.2648,1.6458,1.48967,0.03357,0.67225,0.70858,0.70187,0.40608,1.32573,1.45455,0.04135,0.00159844,0.00159844,0.00159844
4,44.4853,1.68935,1.16364,0.03547,0.4178,0.4,0.33118,0.08179,2.9602,2.99125,0.1064,0.00199561,0.00199561,0.00199561
5,53.6366,1.81624,1.1722,0.03829,0.80515,0.67273,0.85083,0.41618,1.79219,1.65608,0.05856,0.00199219,0.00199219,0.00199219
6,62.8494,1.72992,1.11446,0.03446,0.63408,0.74545,0.73299,0.36258,1.93754,1.35758,0.07005,0.00198781,0.00198781,0.00198781
7,72.04,1.59376,0.99978,0.0328,0.69391,0.78182,0.7081,0.37143,1.87627,1.26239,0.06508,0.00198246,0.00198246,0.00198246
8,81.2305,1.71004,0.96607,0.03473,0.77131,0.79721,0.73508,0.34987,2.00374,1.31047,0.06956,0.00197616,0.00197616,0.00197616
9,90.4198,1.65126,0.96818,0.03348,0.84912,0.92097,0.93525,0.52611,1.57183,0.6628,0.05012,0.0019689,0.0019689,0.0019689
10,99.6405,1.57837,0.80297,0.03023,0.84685,0.9049,0.91108,0.53121,1.60965,0.65125,0.05256,0.00196069,0.00196069,0.00196069
11,108.879,1.47416,0.73687,0.03042,0.84768,0.89091,0.91916,0.52111,1.50514,0.61784,0.0468,0.00195155,0.00195155,0.00195155
12,118.035,1.52502,0.72299,0.02795,0.98144,0.96157,0.97702,0.5859,1.37267,0.47432,0.04236,0.00194147,0.00194147,0.00194147
13,127.286,1.51118,0.74767,0.02955,0.97604,0.96364,0.96372,0.52798,1.65601,0.64908,0.05187,0.00193048,0.00193048,0.00193048
14,136.444,1.52372,0.81945,0.03173,0.89155,0.85455,0.89413,0.52705,1.55018,0.49177,0.05229,0.00191858,0.00191858,0.00191858
15,145.624,1.37626,0.73455,0.02719,0.94589,1,0.99272,0.67792,1.11758,0.52615,0.03411,0.00190578,0.00190578,0.00190578
16,154.842,1.4708,0.68558,0.03041,1,0.9801,0.99359,0.5994,1.61189,0.4257,0.05465,0.0018921,0.0018921,0.0018921
17,164.067,1.40227,0.65265,0.02796,0.91479,0.97599,0.9821,0.67326,1.10782,0.4254,0.03451,0.00187754,0.00187754,0.00187754
18,173.214,1.42098,0.65803,0.02842,0.97961,0.96364,0.98757,0.61727,1.37903,0.43578,0.04341,0.00186213,0.00186213,0.00186213
19,182.394,1.38898,0.68419,0.02774,0.96112,0.96364,0.98462,0.66715,1.1671,0.39613,0.03539,0.00184588,0.00184588,0.00184588
20,191.58,1.31636,0.58066,0.02522,0.94559,0.94795,0.98346,0.6415,1.25599,0.42631,0.03971,0.00182881,0.00182881,0.00182881
21,200.743,1.33422,0.60536,0.02523,0.98105,0.96364,0.98751,0.60507,1.30766,0.45254,0.03972,0.00181093,0.00181093,0.00181093
22,209.915,1.34881,0.60166,0.02621,1,0.96147,0.99159,0.67436,1.28036,0.36038,0.04142,0.00179225,0.00179225,0.00179225
