epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.78121,1.87597,2.70744,2.14473,0.0034,1,0.82744,0.50067,0.99188,2.83186,1.55512,0.00026,0.00026,0.00026
2,6.28253,1.27852,1.55699,1.49768,1,0.1509,0.82627,0.4541,1.39412,2.68133,2.03914,0.000534654,0.000534654,0.000534654
3,8.7684,1.2596,1.44413,1.53954,0.58417,0.23636,0.51751,0.2573,1.32876,2.76091,1.83657,0.000803764,0.000803764,0.000803764
4,11.2449,1.26432,1.3651,1.53207,0.39686,0.50253,0.29603,0.10658,2.1404,2.97689,2.73661,0.00106733,0.00106733,0.00106733
5,13.714,1.20958,1.26767,1.48028,0.63151,0.78182,0.69467,0.3554,1.41822,4.1888,2.1961,0.00132535,0.00132535,0.00132535
6,16.1835,1.20757,1.24689,1.47444,0.57009,0.70909,0.61482,0.21498,2.09447,3.42112,2.95311,0.00157783,0.00157783,0.00157783
7,18.6647,1.24889,1.17763,1.48605,0.44991,0.41818,0.36041,0.14276,2.09222,4.09677,2.55794,0.00182476,0.00182476,0.00182476
8,21.182,1.23973,1.09872,1.46316,0.55569,0.43213,0.48812,0.1923,2.13074,2.85535,2.60842,0.0018614,0.0018614,0.0018614
9,23.6343,1.20133,1.10421,1.45195,0.74471,0.79563,0.8445,0.42508,1.41209,2.06694,1.94579,0.0018416,0.0018416,0.0018416
10,26.1047,1.14255,0.98472,1.37878,0.93931,0.89091,0.94984,0.60996,1.22012,1.14702,1.64867,0.0018218,0.0018218,0.0018218
11,28.6009,1.17965,1.02086,1.43523,0.98092,0.93493,0.98401,0.68119,1.12788,0.97647,1.63055,0.001802,0.001802,0.001802
12,31.066,1.19587,0.94432,1.40433,0.61421,0.69477,0.72484,0.45323,1.39029,3.0438,1.834,0.0017822,0.0017822,0.0017822
13,33.5133,1.15553,0.94886,1.38425,0.95725,0.81435,0.8742,0.58522,1.31216,1.2937,1.76066,0.0017624,0.0017624,0.0017624
14,35.9651,1.16252,0.88776,1.40686,0.95851,0.81818,0.89423,0.53111,1.54429,1.24478,1.89681,0.0017426,0.0017426,0.0017426
15,38.4332,1.18792,0.84102,1.38388,0.9809,0.8,0.94234,0.61019,1.25209,1.04543,1.66126,0.0017228,0.0017228,0.0017228
16,40.8927,1.15138,0.8377,1.38895,0.92741,0.98182,0.96329,0.66953,1.10106,0.9531,1.54413,0.001703,0.001703,0.001703
17,43.3419,1.11695,0.83788,1.37538,0.95572,0.94545,0.98716,0.68354,1.18699,0.95996,1.64126,0.0016832,0.0016832,0.0016832
18,45.8163,1.09304,0.80028,1.36085,0.90318,0.84814,0.94703,0.63554,1.15291,1.12635,1.58549,0.0016634,0.0016634,0.0016634
19,48.2902,1.08064,0.78739,1.34828,0.91572,0.90909,0.96687,0.62147,1.13749,1.05274,1.58772,0.0016436,0.0016436,0.0016436
20,50.7454,1.08863,0.75937,1.35581,0.93383,0.76986,0.86227,0.57334,1.31375,1.04559,1.72688,0.0016238,0.0016238,0.0016238
21,53.2031,1.11043,0.71956,1.31823,0.79824,0.54545,0.62022,0.29539,1.9838,1.60368,2.25852,0.001604,0.001604,0.001604
22,55.6641,1.08169,0.70616,1.30519,0.68051,0.73589,0.73001,0.43375,1.49869,1.25743,1.87426,0.0015842,0.0015842,0.0015842
23,58.1275,1.04933,0.69122,1.31297,0.9803,0.96364,0.99204,0.69916,1.14225,0.67774,1.54869,0.0015644,0.0015644,0.0015644
24,60.5969,1.06597,0.68409,1.30139,0.99635,0.98182,0.99482,0.73617,0.97923,0.6145,1.3941,0.0015446,0.0015446,0.0015446
25,63.0643,1.03299,0.69058,1.31382,0.96277,0.96364,0.98721,0.71038,1.02362,0.69389,1.43672,0.0015248,0.0015248,0.0015248
26,65.5337,0.97723,0.6692,1.27373,0.99154,0.98182,0.99417,0.72939,1.00221,0.53211,1.38481,0.001505,0.001505,0.001505
27,67.9951,0.97972,0.62773,1.27221,0.98211,0.99794,0.99482,0.72963,0.99352,0.50077,1.38671,0.0014852,0.0014852,0.0014852
28,70.4972,1.01059,0.64556,1.28601,0.98039,0.90891,0.96488,0.66575,1.13539,0.67949,1.50672,0.0014654,0.0014654,0.0014654
29,72.9609,0.98344,0.65759,1.27784,0.99657,0.98182,0.99482,0.73824,0.98523,0.54345,1.36889,0.0014456,0.0014456,0.0014456
30,75.4573,1.0329,0.63477,1.3091,0.92931,0.98182,0.98583,0.72369,1.01072,0.58225,1.43249,0.0014258,0.0014258,0.0014258
31,77.9374,1.00845,0.67275,1.29735,0.94548,0.98182,0.99252,0.65961,1.19346,0.56608,1.61156,0.001406,0.001406,0.001406
32,80.4182,1.00594,0.63656,1.27712,0.97013,0.98182,0.99319,0.72829,1.00879,0.55301,1.42375,0.0013862,0.0013862,0.0013862
33,82.8619,1.0091,0.62837,1.27631,0.96144,0.96364,0.99074,0.7295,1.02295,0.57678,1.39568,0.0013664,0.0013664,0.0013664
34,85.3199,0.97818,0.65903,1.263,0.99111,0.98182,0.99432,0.73046,1.01892,0.49862,1.40639,0.0013466,0.0013466,0.0013466
35,87.7579,0.97514,0.61397,1.26245,0.96293,1,0.99392,0.7286,1.00139,0.49497,1.37848,0.0013268,0.0013268,0.0013268
36,90.2197,0.98302,0.6483,1.28029,0.97713,0.96364,0.99176,0.7514,0.97539,0.48501,1.37017,0.001307,0.001307,0.001307
37,92.6986,0.976,0.63118,1.28593,0.9481,0.99655,0.99308,0.71698,0.97062,0.55105,1.37833,0.0012872,0.0012872,0.0012872
38,95.1513,0.93708,0.59373,1.22449,1,0.99428,0.995,0.7431,0.99973,0.4976,1.41507,0.0012674,0.0012674,0.0012674
39,97.6191,0.97396,0.58979,1.2816,0.99737,0.98182,0.99482,0.74704,0.94707,0.51551,1.33967,0.0012476,0.0012476,0.0012476
40,100.068,0.92863,0.58558,1.2526,0.96974,0.98182,0.99392,0.76035,0.91483,0.50019,1.31074,0.0012278,0.0012278,0.0012278
41,102.55,0.91164,0.55207,1.22644,0.9622,0.98182,0.992,0.7521,0.95373,0.47702,1.33463,0.001208,0.001208,0.001208
42,105.022,0.89743,0.54756,1.21033,0.96176,1,0.99319,0.75989,0.89444,0.47277,1.31268,0.0011882,0.0011882,0.0011882
43,107.464,0.94304,0.55611,1.26282,1,0.99802,0.995,0.71305,1.03131,0.56566,1.40172,0.0011684,0.0011684,0.0011684
44,109.914,0.93661,0.56538,1.22881,0.99779,1,0.995,0.74296,0.96872,0.45089,1.36638,0.0011486,0.0011486,0.0011486
45,112.354,0.95634,0.56258,1.25317,0.99579,1,0.995,0.74776,0.95138,0.43887,1.32601,0.0011288,0.0011288,0.0011288
46,114.83,0.95277,0.55027,1.2596,0.94792,0.99293,0.99161,0.75328,0.94775,0.56159,1.34317,0.001109,0.001109,0.001109
47,117.297,0.88851,0.55338,1.19431,0.98211,0.99802,0.99482,0.75922,0.93744,0.4551,1.33465,0.0010892,0.0010892,0.0010892
